,time,RH_parcel,q_parcel,T_parcel,z_parcel,qa_ts,qc_ts,qr_ts,na_ts,nc_ts,nr_ts
0,0.0,0.8799953418963485,12.950331291844815,293.2000573427884,0.0,1.6533471089979264e-05,6.5091128273209375e-06,0.0,1976.8009917664838,0.5118005480551906,0.0
1,0.5,0.8801283106685367,12.950331302550854,293.1976170176384,0.25,1.6529213357193865e-05,6.502664521047731e-06,0.0,1976.8009917664845,0.5118005480551908,0.0
2,1.0,0.8802613019098501,12.950331312614358,293.1951766940873,0.5,1.652515400043794e-05,6.496660373818187e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
3,1.5,0.8803943156283397,12.950331322054502,293.1927363720875,0.75,1.6521290537363594e-05,6.49108369249491e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
4,2.0,0.8805273518318878,12.950331330889608,293.19029605159335,1.0,1.651762053979061e-05,6.4859185842688784e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
5,2.5,0.8806604105282155,12.950331339137191,293.18785573256133,1.25,1.6514141632208858e-05,6.481149909093595e-06,0.0,1976.8009917664845,0.5118005480551908,0.0
6,3.0,0.8807934917248996,12.950331346814007,293.18541541494966,1.5,1.6510851490333205e-05,6.47676323557252e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
7,3.5,0.880926595429367,12.950331353936093,293.1829750987185,1.75,1.6507747839708836e-05,6.472744800003925e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
8,4.0,0.8810597216489157,12.95033136051881,293.18053478382956,2.0,1.6504828454364802e-05,6.46908146831642e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
9,4.5,0.8811928703907134,12.950331366576878,293.17809447024626,2.25,1.6502091155513807e-05,6.465760700654317e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
10,5.0,0.8813260416618102,12.950331372124404,293.1756541579335,2.5,1.649953381029649e-05,6.462770518394824e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
11,5.5,0.8814592354691421,12.95033137717493,293.1732138468575,2.75,1.6497154330567977e-05,6.460099473399795e-06,0.0,1976.8009917664838,0.5118005480551906,0.0
12,6.0,0.8815924518195346,12.95033138174144,293.170773536986,3.0,1.6494950671725632e-05,6.457736619322977e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
13,6.5,0.8817256907197153,12.950331385836416,293.16833322828796,3.25,1.64929208315755e-05,6.45567148481029e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
14,7.0,0.8818589521763112,12.950331389471835,293.16589292073354,3.5,1.6491062849236847e-05,6.453894048445323e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
15,7.5,0.8819922361958575,12.950331392659212,293.1634526142941,3.75,1.6489374804082326e-05,6.452394715305487e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
16,8.0,0.8821255427848037,12.95033139540962,293.1610123089421,4.0,1.6487854814713252e-05,6.451164295006254e-06,0.0,1976.8009917664842,0.5118005480551906,0.0
17,8.5,0.8822588719495145,12.950331397733711,293.158572004651,4.25,1.648650103796787e-05,6.4501939811215126e-06,0.0,1976.8009917664845,0.5118005480551908,0.0
18,9.0,0.8823922236962736,12.95033139964173,293.15613170139534,4.5,1.6573790573317665e-05,6.360996426522064e-06,0.0,1976.8221156859565,0.49067662858288025,0.0
19,9.5,0.8825255980312947,12.950331401143544,293.15369139915055,4.75,1.6572754754969864e-05,6.360530432218971e-06,0.0,1976.8221156859565,0.49067662858288025,0.0
20,10.0,0.8826589949607175,12.950331402248649,293.15125109789295,5.0,1.6571881937955864e-05,6.3602981433455975e-06,0.0,1976.8221156859565,0.49067662858288025,0.0
